Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_47217;363;864;1001;448;521;490
PITA_38471;0;0;0;0;1;0
PITA_41407;0;35;0;14;1;0
PITA_05446;9;22;29;24;19;23
PITA_27874;0;0;0;0;0;0
PITA_32599;47;36;126;51;30;32
PITA_06895;28;0;30;14;19;14
PITA_07937;0;0;0;0;1;0
PITA_34693;0;0;0;1;0;0
PITA_48390;1;2;0;0;1;0
PITA_48933;0;0;0;0;0;0
PITA_11175;0;0;0;0;0;0
PITA_07042;33;30;61;54;66;92
PITA_23280;0;0;0;0;0;0
PITA_23204;78;223;124;101;180;155
PITA_07688;0;0;0;2;1;0
PITA_38116;0;0;0;0;0;0
PITA_18467;0;1;0;1;0;0
PITA_37043;0;5;3;0;5;0
PITA_01125;0;0;0;0;0;0
PITA_51614;0;0;0;2;0;0
PITA_20771;0;1;13;3;1;9
PITA_29838;34;43;82;91;71;74
PITA_13185;0;0;0;0;0;0
PITA_18050;508;509;892;763;620;852
PITA_22122;442;310;704;647;435;729
PITA_21755;3188;4016;7404;4393;4299;5056
PITA_49117;2;0;0;6;7;14
PITA_47278;132;104;234;299;355;159
PITA_21031;0;0;0;0;0;0
PITA_35645;1042;1407;2631;1443;1515;1669
PITA_07330;1;0;0;2;3;7
PITA_41743;2;0;6;5;3;1
PITA_12677;0;0;0;0;0;0
PITA_22695;1;0;6;1;1;6
PITA_37364;54;103;286;93;107;157
PITA_02457;29;98;68;80;135;47
PITA_13784;2;5;6;2;2;6
PITA_35198;1;1;2;1;2;1
PITA_31530;0;0;0;2;0;1
PITA_26740;62;66;200;154;31;136
PITA_39318;246;375;661;247;343;210
PITA_05829;0;0;0;0;6;0
PITA_02316;33;41;69;35;45;55
PITA_28312;0;4;4;0;0;4
PITA_07150;367;925;963;425;677;887
PITA_36571;0;1;0;0;0;1
PITA_36141;810;1322;1530;834;1067;1090
PITA_13732;0;0;0;0;0;0
PITA_48211;0;0;0;0;0;0
PITA_17428;4;13;0;25;8;13
PITA_03638;76;30;188;116;56;82
PITA_11901;90;204;144;175;115;194
PITA_23845;46;46;136;53;44;88
PITA_36383;0;0;0;0;0;0
PITA_48991;0;0;0;0;0;0
PITA_24992;0;0;0;0;0;0
PITA_43404;0;3;5;0;0;9
PITA_21434;153;45;106;75;87;9
PITA_18189;7;10;17;9;15;35
PITA_09884;0;0;0;0;0;0
PITA_43036;1082;1528;2413;1359;1739;1097
PITA_25824;31;47;164;53;63;125
PITA_14043;0;0;0;0;0;0
PITA_14787;0;0;0;0;0;0
PITA_28293;0;0;0;0;0;0
PITA_47538;0;0;5;0;0;1
PITA_32843;2;3;8;10;11;1
PITA_17222;227;250;482;149;166;218
PITA_29605;0;7;7;11;7;21
PITA_47646;44;53;36;18;58;6
